question_no,question,answer,images,has_images
1,"List pod logs named ""frontend"" and search for the pattern ""started"" and write it to a file
""/opt/error-logs""","Kubectl logs frontend | grep -i ""started"" > /opt/error-logs",,False
2,"Create 2 nginx image pods in which one of them is labelled with env=prod and another one
labelled with env=dev and verify the same.","kubectl run --generator=run-pod/v1 --image=nginx -- labels=env=prod nginx-prod --dry-run -o
yaml > nginx-prodpod.yaml Now, edit nginx-prod-pod.yaml file and remove entries like
""creationTimestamp: null"" ""dnsPolicy: ClusterFirst"" vim nginx-prod-pod.yaml apiVersion: v1
kind: Pod metadata:
labels:
env: prod
name: nginx-prod
spec:
containers:
- image: nginx
name: nginx-prod
restartPolicy: Always
# kubectl create -f nginx-prod-pod.yaml
kubectl run --generator=run-pod/v1 --image=nginx --
labels=env=dev nginx-dev --dry-run -o yaml > nginx-dev-pod.yaml
apiVersion: v1
kind: Pod
metadata:
labels:
env: dev
name: nginx-dev
spec:
containers:
- image: nginx
name: nginx-dev
restartPolicy: Always
# kubectl create -f nginx-prod-dev.yaml
Verify :
kubectl get po --show-labels
kubectl get po -l env=prod
kubectl get po -l env=dev",,False
3,Create an nginx pod and list the pod with different levels of verbosity,"2
// create a pod
kubectl run nginx --image=nginx --restart=Never --port=80
// List the pod with different verbosity
kubectl get po nginx --v=7
kubectl get po nginx --v=8
kubectl get po nginx --v=9",,False
4,"Create a pod with environment variables as var1=value1.Check the environment variable in
pod","kubectl run nginx --image=nginx --restart=Never --env=var1=value1
# then
kubectl exec -it nginx -- env
# or
kubectl exec -it nginx -- sh -c 'echo $var1'
# or
kubectl describe po nginx | grep value1",,False
5,"Given a partially-functioning Kubernetes cluster, identify symptoms of failure on the cluster.
Determine the node, the failing service, and take actions to bring up the failed service and
restore the health of the cluster. Ensure that any changes are made permanently.
You can ssh to the relevant I nodes (bk8s-master-0 or bk8s-node-0) using:
[student@node-1] $ ssh <nodename>
You can assume elevated privileges on any node in the cluster with the following command:
[student@nodename] $ | sudo -i",3,"answer_5_img_1.png, answer_5_img_2.png, answer_5_img_3.png",True
6,"List ""nginx-dev"" and ""nginx-prod"" pod and delete those pods","kubect1 get pods -o wide
kubectl delete po ""nginx-dev"" kubectl delete po ""nginx-prod""",,False
7,"Monitor the logs of pod foo and:
Extract log lines corresponding to error
unable-to-access-website
Write them to /opt/KULM00201/foo",5,"question_7_img_1.png, answer_7_img_1.png",True
8,"Create a pod as follows:
Name: non-persistent-redis
container Image: redis
6
Volume with name: cache-control
Mount path: /data/redis
The pod should launch in the staging namespace and the volume must not be persistent.",7,"question_8_img_1.png, question_8_img_2.png, question_8_img_3.png",True
9,Create a pod with image nginx called nginx and allow traffic on port 80,kubectl run nginx --image=nginx --restart=Never --port=80,question_9_img_1.png,True
10,Scale the deployment webserver to 3 pods.,[답변이 제공되지 않음],question_10_img_1.png,True
11,"Create a file:
/opt/KUCC00302/kucc00302.txt that lists all pods that implement service baz in namespace
8
development.
The format of the file should be one pod name per line.",9,"question_11_img_1.png, question_11_img_2.png, question_11_img_3.png, answer_11_img_1.png",True
12,"Create a pod named kucc8 with a single app container for each of the following images
running inside (there may be between 1 and 4 images specified):
nginx + redis + memcached.",10,"answer_12_img_1.png, answer_12_img_2.png, answer_12_img_3.png",True
13,"List all persistent volumes sorted by capacity, saving the full kubectl output to
/opt/KUCC00102/volume_list. Use kubectl 's own functionality for sorting the output, and do
not manipulate it any further.",12,,False
14,Scale the deployment presentation to 6 pods.,"kubectl get deployment
kubectl scale deployment.apps/presentation --replicas=6",question_14_img_1.png,True
15,"List ""nginx-dev"" and ""nginx-prod"" pod and delete those pods","kubect1 get pods -o wide
kubectl delete po ""nginx-dev"" kubectl delete po ""nginx-prod""
13",question_15_img_1.png,True
16,"Create a persistent volume with name app-data, of capacity 2Gi and access mode
ReadWriteMany. The type of volume is hostPath and its location is /srv/app-data.","Persistent Volume
A persistent volume is a piece of storage in a Kubernetes cluster. PersistentVolumes are a
cluster-level resource like nodes, which don't belong to any namespace. It is provisioned by
the administrator and has a particular file size. This way, a developer deploying their app on
Kubernetes need not know the underlying infrastructure. When the developer needs a certain
amount of persistent storage for their application, the system administrator configures the
cluster so that they consume the PersistentVolume provisioned in an easy way.
Creating Persistent Volume
kind: PersistentVolume apiVersion: v1 metadata: name:app-data spec: capacity: # defines
the capacity of PV we are creating storage: 2Gi #the amount of storage we are tying to claim
accessModes: # defines the rights of the volume we are creating - ReadWriteMany hostPath:
path: ""/srv/app-data"" # path to which we are creating the volume Challenge Create a
Persistent Volume named app-data, with access mode ReadWriteMany, storage classname
shared, 2Gi of storage capacity and the host path /srv/app-data.
2. Save the file and create the persistent volume.
3. View the persistent volume.
Our persistent volume status is available meaning it is available and it has not been mounted
yet. This status will change when we mount the persistentVolume to a
persistentVolumeClaim.
PersistentVolumeClaim
14
In a real ecosystem, a system admin will create the PersistentVolume then a developer will
create a PersistentVolumeClaim which will be referenced in a pod. A PersistentVolumeClaim
is created by specifying the minimum size and the access mode they require from the
persistentVolume.
Challenge
Create a Persistent Volume Claim that requests the Persistent Volume we had created
above. The claim should request 2Gi. Ensure that the Persistent Volume Claim has the same
storageClassName as the persistentVolume you had previously created.
kind: PersistentVolume apiVersion: v1 metadata: name:app-data
spec:
accessModes: - ReadWriteMany resources:
requests: storage: 2Gi
storageClassName: shared
2. Save and create the pvc
njerry191@cloudshell:~ (extreme-clone-2654111)$ kubect1 create -f app-data.yaml
persistentvolumeclaim/app-data created
3. View the pvc
4. Let's see what has changed in the pv we had initially created.
Our status has now changed from available to bound.
5. Create a new pod named myapp with image nginx that will be used to Mount the
Persistent Volume Claim with the path /var/app/config.
Mounting a Claim
apiVersion: v1 kind: Pod metadata: creationTimestamp: null name: app-data spec: volumes: -
name:congigpvc persistenVolumeClaim: claimName: app-data containers: - image: nginx
name: app volumeMounts: - mountPath: ""/srv/app-data "" name: configpvc","answer_16_img_1.png, answer_16_img_2.png, answer_16_img_3.png, answer_16_img_4.png, answer_16_img_5.png, answer_16_img_6.png",True
17,"Monitor the logs of pod bar and:
* Extract log lines corresponding to error file-not-found
* Write them to /opt/KUTR00101/bar
15","kubectl logs bar | grep 'unable-to-access-website' > /opt/KUTR00101/bar cat
/opt/KUTR00101/bar",,False
